first_name,last_name,email,product_id,qty,amount,description,address,city,state,country
'Pamela Gibbs','William Mathews','toddmartin@terry.com',1820,,98.07,'While control no center sit market its.','58038 Henderson Ports Apt. 994','Kevinberg','Illinois','Bolivia'
'Bruce Thompson','Jerry Kelly','deannabenson@yahoo.com',1460,,78.68,'Type bar discover.','1861 Wang Drive','New Donald','New York','Tanzania'
'Nicholas Johnson','Daniel Boyd','kmeyer@lloyd.net',1746,,30.87,'Role although purpose increase scene.','7613 William Shoal','Reidberg','Idaho','Venezuela'
'Joshua Simpson','Michael Robinson','ialexander@hansen.com',468,,31.76,'Among law someone sell trouble Democrat.','93874 Hunter Brooks Apt. 715','Wallacefort','Connecticut','Aruba'
'Matthew Taylor','Troy Montes','hannah30@phillips-richardson.com',1507,,58.14,'Moment budget red exist.','6019 Haley Burg Apt. 764','Lake Randallhaven','Nebraska','Algeria'
'Mark Rios','Timothy Hill','april91@patel-thompson.com',198,,36.47,'Test body six power interview.','6739 Marissa Points','East Sonya','Hawaii','France'
'Tammy Christian','Mitchell Craig','alyssafarrell@gmail.com',1514,,37.76,'What keep create example.','9453 Avery Stream Apt. 505','Christopherfurt','Pennsylvania','Dominica'
'Dominique Sanders','Patrick Dixon','angel92@yoder.org',264,,81.09,'Person return military keep but simply.','113 Christine Knolls','Gregorychester','Minnesota','Turks and Caicos Islands'
'Emily White','Daniel Simmons','hamiltonmichael@jones.org',1099,,84.18,'Wait three among color white discuss.','69937 Allen Drive','Brandonside','Alaska','Singapore'
'Justin Davenport','Amy Morse','robertswesley@hotmail.com',155,,94.76,'Clear professor development leg able.','43777 Munoz Valley Suite 094','Williamchester','Kentucky','Bangladesh'
'Brian Clark','Cole Miller','jacobmontgomery@gmail.com',1883,,17.78,'Behind employee building.','38010 Cynthia Plaza Apt. 744','Lake Jessica','New Hampshire','Palau'
'Jean Jones','Dana Jordan','mjones@bush-bell.biz',942,,91.52,'Help over quality article true.','617 Anderson Ford Apt. 204','South Kimberly','Iowa','Ethiopia'
'Diana Clark','David Smith','johnstokes@hall.com',961,,30.39,'Argue read moment.','67482 Robert Walk','Bushstad','Minnesota','Liechtenstein'
'Cindy Howard','Kathleen Ward','swansonmarie@adams.com',838,,38.1,'Why catch task number on without become.','16130 Brian Inlet','Davidmouth','Nebraska','Mozambique'
'Paul Lloyd','Timothy Gutierrez','websterangelica@nash-campbell.com',1132,,52.48,'Son process opportunity performance authority threat leave.','3630 Dillon Fork','Sullivanmouth','Michigan','Congo'
'Christopher Hill','Shawn Newman','snowvalerie@peterson.com',728,,6.26,'Important star increase tell.','024 Joseph Shoals Apt. 812','Richardfort','Wyoming','Philippines'
'Christine Wright','Robert Garrett','uelliott@bowers.info',623,,27.1,'Blue without at.','39710 Hardy Groves','Lisafort','Wisconsin','Armenia'
'Steven Crawford','Chad Hughes','jsmith@cook-graham.com',104,,70.23,'Star investment their election southern.','312 Lewis Junction Suite 763','West Stanley','New Jersey','Yemen'
'Ronald Peters','Stephen Johnson','stoutdalton@davis.com',1033,,41.41,'Wish old certain return.','202 Sullivan Ways','Williamsport','Alabama','Ghana'
'Jennifer White','Robert Myers','kylepage@hotmail.com',1870,,98.78,'Dream already police billion their piece be goal.','93904 Perez Bridge Apt. 852','Lake Joseph','Vermont','Nepal'
'Nathan Nelson','Sean Zimmerman','ejensen@mitchell.com',1543,,57.42,'Various daughter leg two fire nice for.','181 James Village Apt. 435','Chapmanchester','Rhode Island','Serbia'
'Natalie Jones','Lindsay Stewart','matthewwarren@gmail.com',1399,,52.75,'Nation available though standard key thing than detail.','8872 Garcia Ford Suite 049','North Lauramouth','New Jersey','Tuvalu'
'Ross Brown','Anthony Wilson','michael37@byrd.com',375,,93.54,'War data stand hard cost then important.','18963 Matthew Plain Apt. 663','Michelestad','South Dakota','British Indian Ocean Territory (Chagos Archipelago)'
'Dylan Mcdowell','Courtney Murphy','espinozasusan@gmail.com',977,,79.01,'Perhaps able teacher financial reveal.','944 Leslie Village Suite 966','Lake Sarahton','Oregon','Chad'
'Leslie Carter','Pamela Stevens','scottshannon@hotmail.com',1004,,86.85,'Television onto power response thank will deal.','401 Alison Loop','Simonborough','Wisconsin','Andorra'
'Jessica Cameron','Amanda Richardson','redwards@freeman.com',1456,,27.6,'Rule happen father draw grow program relate.','533 John Brook','West Jeffreyshire','Arizona','Andorra'
'Amber Williams','Todd Ware','dylanpowers@yahoo.com',1709,,80.16,'Research history attack cultural crime.','953 Grace Path','West Samanthamouth','Alaska','Martinique'
'Barbara Thomas','Margaret Day','michaelhutchinson@melton.com',912,,17.51,'Expert move necessary line artist training impact.','64466 Melissa Freeway Suite 994','Anthonyton','Idaho','Jersey'
'Curtis Jackson','Jessica Bradshaw','bjones@gmail.com',1951,,48.75,'War name realize soldier sense but law.','45481 Colleen Freeway','East Alexandramouth','Kansas','Pakistan'
'Ronnie Harris','Dr. Monica Frazier','catherine16@gmail.com',1632,,71.3,'Stop pass her yourself including card take.','78702 Jennifer Glens Suite 377','Lake Shelleyfort','Georgia','Uzbekistan'
'Alisha Cunningham','Jennifer Callahan','jon36@monroe-davis.com',471,,61.06,'Local Republican election usually dark worry.','56310 Mccullough Road Apt. 408','Seanborough','Georgia','Bolivia'
'Megan Burns','Daniel Bailey','mlevy@williams.com',1376,,74.83,'Action young chance hit sure coach PM.','48799 Brandon Mills','Fordmouth','Nevada','China'
'Joseph Decker','Patricia Larsen','munozebony@cruz.net',720,,75.05,'Western data friend attorney view something.','7874 Hanson Radial','New Joelbury','Massachusetts','India'
'Mary Dyer','Nicholas White','michael93@yahoo.com',1708,,5.5,'Career field with maybe participant character.','8594 Russell Island','Stephanieborough','Delaware','Uruguay'
'Phillip Tate','Mary Kelley','kyle65@hotmail.com',1472,,55.15,'Leave eat experience bit require claim building law.','5735 Baldwin Landing','South Ryanberg','New York','Burkina Faso'
'Sarah Mccullough','Christina Oliver','ijohnson@hall.org',269,,64.18,'Event heavy standard.','6806 David Neck Suite 369','Nelsonfurt','North Carolina','Lao People's Democratic Republic'
'Steven Lewis','Gregory Ramos','lmcdowell@gmail.com',244,,68.67,'Social various the religious miss phone focus.','48597 Wallace Cove Apt. 933','Elizabethburgh','Montana','Cameroon'
'Philip Giles','David Lewis','hlee@rush.com',1388,,21.53,'Owner management every listen me everyone.','008 Brown Track Apt. 116','Longfurt','Alabama','Russian Federation'
'Brett Collins','Madison Hutchinson','rprice@yahoo.com',253,,47.99,'Relate land center home.','3386 Lopez Burg','Johnstad','Missouri','Solomon Islands'
'Richard Henry','Sarah Ray','wardjoe@yahoo.com',1402,,7.69,'However make commercial serve debate fear.','5356 Prince Garden Suite 761','New Georgechester','Alabama','Sao Tome and Principe'
